filename,prob
00000.jpg,0.9501505
00001.jpg,0.9360961
00002.jpg,0.92783546
00003.jpg,0.92736804
00004.jpg,0.9381599
00005.jpg,0.947999
00006.jpg,0.91848814
00007.jpg,0.7681331
00008.jpg,0.9437305
00009.jpg,0.96743715
00010.jpg,0.9324821
00011.jpg,0.9563917
00012.jpg,0.9568206
00013.jpg,0.9505979
00014.jpg,0.93459624
00015.jpg,0.9278461
00016.jpg,0.9413765
00017.jpg,0.88298815
00018.jpg,0.92045027
00019.jpg,0.9439974
00020.jpg,0.6449695
00021.jpg,0.7833719
00022.jpg,0.98595446
00023.jpg,0.9188008
00024.jpg,0.9653508
00025.jpg,0.9685781
00026.jpg,0.94829786
00027.jpg,0.9263938
00028.jpg,0.95172995
00029.jpg,0.9570945
00030.jpg,0.9486167
00031.jpg,0.8181631
00032.jpg,0.95106703
00033.jpg,0.9362343
00034.jpg,0.94514394
00035.jpg,0.93301123
00036.jpg,0.95580965
00037.jpg,0.94156694
00038.jpg,0.9694607
00039.jpg,0.9363569
00040.jpg,0.9756816
00041.jpg,0.9516583
00042.jpg,0.92420536
00043.jpg,0.9390676
00044.jpg,0.9588778
00045.jpg,0.9594462
00046.jpg,0.912465
00047.jpg,0.95408356
00048.jpg,0.97243303
00049.jpg,0.95915174
00050.jpg,0.96608716
00051.jpg,0.9567908
00052.jpg,0.9316593
00053.jpg,0.96906507
00054.jpg,0.95368147
00055.jpg,0.9509285
00056.jpg,0.97872955
00057.jpg,0.95393753
00058.jpg,0.9403996
00059.jpg,0.9718099
00060.jpg,0.93332464
00061.jpg,0.9813762
00062.jpg,0.9510241
00063.jpg,0.8962723
00064.jpg,0.91659373
00065.jpg,0.96610105
00066.jpg,0.9126319
00067.jpg,0.8783837
00068.jpg,0.9335492
00069.jpg,0.93612534
00070.jpg,0.92508096
00071.jpg,0.94204605
00072.jpg,0.9073381
00073.jpg,0.9338872
00074.jpg,0.9418878
00075.jpg,0.9115178
00076.jpg,0.9476448
00077.jpg,0.9141372
00078.jpg,0.92312485
00079.jpg,0.9282232
00080.jpg,0.98280877
00081.jpg,0.9233086
00082.jpg,0.9408904
00083.jpg,0.9041598
00084.jpg,0.92558944
00085.jpg,0.9666825
00086.jpg,0.9686234
00087.jpg,0.97680855
00088.jpg,0.91298705
00089.jpg,0.9804406
00090.jpg,0.9536588
00091.jpg,0.9306421
00092.jpg,0.93323314
00093.jpg,0.9639667
00094.jpg,0.9093137
00095.jpg,0.9225437
00096.jpg,0.9314172
00097.jpg,0.885391
00098.jpg,0.7366402
00099.jpg,0.9488107
00100.jpg,0.9076318
00101.jpg,0.9737471
00102.jpg,0.84871453
00103.jpg,0.94826025
00104.jpg,0.90113115
00105.jpg,0.9398335
00106.jpg,0.9455581
00107.jpg,0.9403082
00108.jpg,0.8279369
00109.jpg,0.9518707
00110.jpg,0.93026906
00111.jpg,0.93410546
00112.jpg,0.92293704
00113.jpg,0.94151896
00114.jpg,0.94435585
00115.jpg,0.9266078
00116.jpg,0.91662365
00117.jpg,0.96773535
00118.jpg,0.95484453
00119.jpg,0.9659986
00120.jpg,0.97348523
00121.jpg,0.9210179
00122.jpg,0.9547816
00123.jpg,0.9542934
00124.jpg,0.9624206
00125.jpg,0.965475
00126.jpg,0.9374544
00127.jpg,0.9477122
00128.jpg,0.96853817
00129.jpg,0.96121997
00130.jpg,0.95501065
00131.jpg,0.9547001
00132.jpg,0.938548
00133.jpg,0.9466117
00134.jpg,0.6518505
00135.jpg,0.95349926
00136.jpg,0.9516108
00137.jpg,0.927869
00138.jpg,0.9685829
00139.jpg,0.94538575
00140.jpg,0.92277914
00141.jpg,0.9350302
00142.jpg,0.95318377
00143.jpg,0.92685115
00144.jpg,0.97312903
00145.jpg,0.95190245
00146.jpg,0.95928895
00147.jpg,0.94314015
00148.jpg,0.9340882
00149.jpg,0.9190278
00150.jpg,0.9178183
00151.jpg,0.9218857
00152.jpg,0.9585287
00153.jpg,0.9581478
00154.jpg,0.979225
00155.jpg,0.95795774
00156.jpg,0.9419409
00157.jpg,0.9540852
00158.jpg,0.95644915
00159.jpg,0.95633173
00160.jpg,0.9298046
00161.jpg,0.96302253
00162.jpg,0.92758393
00163.jpg,0.9180374
00164.jpg,0.9414773
00165.jpg,0.9716665
00166.jpg,0.9408376
00167.jpg,0.94868803
00168.jpg,0.9549855
00169.jpg,0.9508616
00170.jpg,0.8829909
00171.jpg,0.95278597
00172.jpg,0.9864547
00173.jpg,0.91212726
00174.jpg,0.8698825
00175.jpg,0.94428885
00176.jpg,0.9788496
00177.jpg,0.9526835
00178.jpg,0.9759208
00179.jpg,0.8880048
00180.jpg,0.5952914
00181.jpg,0.6675641
00182.jpg,0.948917
00183.jpg,0.7110364
00184.jpg,0.880198
00185.jpg,0.9416279
00186.jpg,0.98495525
00187.jpg,0.96141696
00188.jpg,0.9443078
00189.jpg,0.9350543
00190.jpg,0.90433705
00191.jpg,0.9654468
00192.jpg,0.9623421
00193.jpg,0.93416286
00194.jpg,0.9381496
00195.jpg,0.95820934
00196.jpg,0.95814943
00197.jpg,0.952536
00198.jpg,0.9413651
00199.jpg,0.9506989
00200.jpg,0.92947257
00201.jpg,0.93152106
00202.jpg,0.9303875
00203.jpg,0.88869643
00204.jpg,0.9081603
00205.jpg,0.9583228
00206.jpg,0.9419616
